0, 0
20505738, 1
21643836, 0
21643976, 1
21644051, 0
21644233, 1
21644308, 0
21644490, 1
21644564, 0
21644746, 1
21644821, 0
21645003, 1
21645078, 0
21645260, 1
21645334, 0
21645517, 1
21645591, 0
21645773, 1
21645847, 0
21646030, 1
21646104, 0
21647664, 1
21647736, 0
21647877, 1
21647951, 0
21648134, 1
21648208, 0
21648390, 1
21648464, 0
21648647, 1
21648721, 0
21648904, 1
21648977, 0
21649160, 1
21649234, 0
21649417, 1
21649491, 0
21649673, 1
21649747, 0
21651298, 1
21651466, 0
21651607, 1
21651681, 0
21651864, 1
21651938, 0
21652118, 1
21652120, 0
21652122, 1
21652194, 0
21652377, 1
21652451, 0
21652633, 1
21652707, 0
21652890, 1
21652964, 0
21653147, 1
21653221, 0
21653403, 1
21653477, 0
21653659, 1
21653734, 0
21655605, 1
21655679, 0
21655821, 1
21655894, 0
21656077, 1
21656151, 0
21656333, 1
21656407, 0
21656589, 1
21656664, 0
21656847, 1
21656921, 0
21657103, 1
21657177, 0
21657360, 1
21657434, 0
21657616, 1
21657690, 0
21659526, 1
90138759, 0
90138898, 1
90138974, 0
90139155, 1
90139230, 0
90139412, 1
90139487, 0
90139669, 1
90139744, 0
90139926, 1
90140000, 0
90140183, 1
90140257, 0
90140439, 1
90140513, 0
90140696, 1
90140770, 0
90140953, 1
90141027, 0
90142589, 1
90142665, 0
90142806, 1
90142880, 0
90143062, 1
90143136, 0
90143319, 1
90143393, 0
90143575, 1
90143650, 0
90143832, 1
90143906, 0
90144089, 1
90144163, 0
90144345, 1
90144419, 0
90144602, 1
90144676, 0
90146226, 1
90146299, 0
90146441, 1
90146514, 0
90146697, 1
90146771, 0
90146953, 1
90147027, 0
90147210, 1
90147284, 0
90147467, 1
90147540, 0
90147723, 1
90147797, 0
90147980, 1
90148054, 0
90148236, 1
90148310, 0
90151531, 1
90152470, 0
90152610, 1
90152685, 0
90152867, 1
90152941, 0
90153124, 1
90153198, 0
90153380, 1
90153455, 0
90153637, 1
90153711, 0
90153894, 1
90153968, 0
90154150, 1
90154224, 0
90154407, 1
90154481, 0
90154663, 1
90154738, 0
90155090, 1
90155519, 0
90155660, 1
90155734, 0
90155917, 1
90155991, 0
90156173, 1
90156247, 0
90156430, 1
90156504, 0
90156687, 1
90156761, 0
90156943, 1
90157017, 0
90157200, 1
90157274, 0
90157456, 1
90157531, 0
90157713, 1
90157787, 0
90159300, 1
90159375, 0
90159516, 1
90159589, 0
90159772, 1
90159846, 0
90160029, 1
90160103, 0
90160286, 1
90160359, 0
90160542, 1
90160616, 0
90160798, 1
90160873, 0
90161055, 1
90161129, 0
90161312, 1
90161386, 0
90162884, 1
90162958, 0
90163099, 1
90163173, 0
90163356, 1
90163430, 0
90163613, 1
90163686, 0
90163869, 1
90163943, 0
90164126, 1
90164200, 0
90164382, 1
90164456, 0
90164639, 1
90164713, 0
90164896, 1
90164969, 0
90168847, 1
